ID,Title,Brand,Model
1,"Canon  R6 Mark II comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm (1.7"") and a surface area of 858.01 mm².",Canon,EOS R6 Mark II
2,"Canon  R7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS R7
3,"Canon  R10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS R10
4,"Canon  R3 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS R3
5,"Canon  M50 II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M50 II
6,"Canon  R5 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS R5
7,"Canon  R6 comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm (1.7"") and a surface area of 858.01 mm².",Canon,EOS R6
8,"Canon  850D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 850D
9,"Canon -1D X Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS-1D X Mark III
10,"Canon  M200 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M200
11,"Canon  90D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 90D
12,"Canon  M6 Mark II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M6 Mark II
13,"Canon  G7 X Mark III comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G7 X Mark III
14,"Canon  G5 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G5 X Mark II
15,"Canon  250D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 250D
16,"Canon  RP comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm².",Canon,EOS RP
17,"Canon  SX70 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX70 HS
18,"Canon  R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS R
19,"Canon  SX740 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX740 HS
20,"Canon  M50 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M50
21,"Canon  Rebel T7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T7
22,"Canon  4000D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 4000D
23,"Canon  G1 X Mark III comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,PowerShot G1 X Mark III
24,"Canon  M100 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M100
25,"Canon  6D Mark II comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm².",Canon,EOS 6D Mark II
26,"Canon  Rebel SL2 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel SL2
