ID,Title
1,"The Leica Q3 updates its predecessor with a higher resolution 60MP full-frame sensor, improved burst rates and the added the ability to shoot 8K/30p video. The camera brings back the stabilized 28mm F1.7 offered since the Q1."
2,"The Fujifilm X-S20 is a DSLR-style mirrorless camera with a 26MP X-Trans BSI-CMOS sensor. Unlike other Fujifilm X-series cameras, it has a more traditional control layout and a larger grip. It uses the same sensor as the X-T4 and X-S20 with upgrades to the image stabilization system, processor, and AF system. The camera can shoot bursts at 30 fps with a crop, 20 fps without using the electronic shutter, or 8 fps with the mechanical shutter and can sustain bursts longer thanks to its UHS-II card slot and faster processor.  The camera has a mode dial rather than the shutter speed and exposure compensation dials found on other X-series models. It also has a pop-up flash. The built-in OLED viewfinder has a magnification of 0.62x and resolution of 2.36 million dots. The LCD is fully articulating and touch-enabled. A mic input is built in, and headphones can be used using the 3.5mm jack on the grip. The camera can be powered over its USB port. The camera can capture 6K open gate footage, 4K (DCI and UHD) for more than 30 minutes, with more runtime if you add the FAN-001 cooling fan accessory. Lovers of high-speed video can shoot at up to 240 fps by dropping down to Full HD. The X-S20 supports F-Log and F-Log2, 10-bit 4:2:2 internal recording, and compatibility with Blackmagic RAW and ProRes RAW using an external recorder."
3,The Canon EOS R100 camera is an entry level 24MP APC-C mirrorless hybrid camera for the RF-mount system.
4,The Sony ZV-1 Mark II is a vlogging compact built around a 20MP Type 1 (13.2 x 8.8mm) Stacked CMOS sensor and an 18-50mm equivalent F1.8-4.0 lens.
5,
6,
7,
8,"The Pentax K-3 Mark III Monochrome is a black-and-white only version of the company's mid-sized enthusiast DSLR. It features a 25.7MP BSI-CMOS sensor, in-body image stabilization, and an all-new optical viewfinder. The viewfinder offers a large 0.7x (equivalent) magnification and has composition and shooting data on a transparent panel. The camera has a fixed 3.2"" touchscreen with 1.62 million dots. The camera uses the 'Safox 13' autofocus system with 101 points, 25 of which being cross-type. It can shoot bursts at 12 fps (11 fps with continuous AF). It offers both Pixel Shift Resolution and Anti-aliasing simulator features, with the latter reducing moiré. UHD 4K video can be captured at 30p, with 3-axis image stabilization from the IBIS system."
9,
10,
11,
12,
13,
14,"The PENTAX KF is designed to provide outstanding imaging performance in a rugged, highly portable body. It provides dependable, cold-proof performance down to temperatures as low as 14°F (-10°C), performing superbly in a wide range of weather conditions. While considered a mid-range model, the new camera incorporates an array of advanced functions and user-friendly features usually found only in higher-end models including a pentaprism-type optical viewfinder with a nearly 100% field of view and an in-body shake-reduction system with a 4.5-shutter-step compensation."
15,"The Fujifilm X-T5 is our favorite APS-C camera for stills photographers. It's fast, well-designed, and capable of class-leading image quality. However, video quality isn't its strong suit and there are slightly more reliable autofocus systems for the money. Good for: Still photographers, including portrait, wildlife, travel, and landscape shooters. Anyone who desires a rugged, high-resolution camera with classic charm. Not so good for: Videographers and hybrid shooters."
16,"Ideal for advanced amateurs and featuring user-friendly functions, the EOS R6 Mark II camera is a high-performance hybrid camera that’s designed to capture decisive moments in both photo and video formats. It will satisfy a wide range of needs including professional production, vlogging, still pictures, filmmaking, and more. The camera is also well-suited for various photography subjects such as portrait, landscape, sports and wildlife. With the EOS R6 Mark II camera, creativity has virtually no borders. The Canon EOS R6 II stands out even from the very capable crowd of $2000-2500 full-frame cameras. It offers comparable image quality to its peers, competitive autofocus, very good video and the fastest burst shooting in its class. Like a swiss army knife, it's remarkably useful for a range of different things. Good for: a vast range of photo and video tasks. Not so good for: Pro shooting that might benefit from a more specialized camera"
17,"The new Alpha 7R V offers 61.0MP still images plus the most effective 8-step image stabilization system ever offered in any of Sony’s Alpha cameras, as well as refined 8K movie recording, a new 4-axis multi-angle LCD monitor, high-speed communication functions, high-level operability and smooth workflow integration. Sony’s newest camera is ideal for professionals who need a first-class high-resolution imaging tool. The Sony a7R V is a high resolution mirrorless camera, combining an excellent sensor with a powerful autofocus system in a body refined over multiple generations of improvement. It lends itself to a wide range of photography, from portraiture and landscape work to wedding and events. Its cropped, slow readout 8K video is the only real weakspot in an otherwise hugely capable camera. Good for: A broad range of photography requiring high resolution. Not so good for: Work that puts equal emphasis on video and stills."
18,"The OM-5's balance between durability, capability, and portability is hard to match anywhere in the photography world. Although it lacks bleeding-edge performance, for the money this model gives beginners a lot of bang for the buck. It can take great-looking stills, has some of OM System's famed computational photography features, and can shoot good enough video in a pinch, all while snapping away in snow and rain. Good for: Landscapes, vacation snapshots, and vlogging all in inclement weather. Not so good for: High-grade video capture or fast-moving sports."
19,"The ZV-1F is a camera aimed at vloggers and others who want to film themselves. It features vlog-friendly features such as a wide, 20mm equivalent lens, a good microphone with a detachable wind screen, and Sony's 'product showcase' mode, which automatically detects when you're holding an object in front of the camera and focuses on it. Still photographers intrigued by the idea of a compact camera with a wide angle lens for travel or street use take note: the ZV-1F doesn't capture Raw images, so you may want to look elsewhere. Good for: Vlogging, video capture, and social media. Not so good for: Users who need advanced video features or still photographers who want to capture Raw images."
20,"The compact, very accessible FX30 brings up-and-coming visual storytellers into the world of Sony’s highly acclaimed Cinema Line cameras. Drawing on cinematic colour science with S-Cinetone™ and S-Log3 for grading, it produces stunning cinematic imagery while incorporating a full array of workflow-efficient features."
21,"The Fujifilm X-H2 is the brand's first model to make the jump to 40MP, the highest-resolution APS-C sensor to date. Image quality is class-leading, while the build quality and ergonomics are nothing short of pro-level. Full-sensor 8K video is highly-detailed, though quite prone to the effects of rolling shutter, limiting its use to mostly static scenes. And Autofocus performance is generally good, even if there's some room for improvement compared to the competition. Good for: Landscape, studio, and portrait shooters who want the highest possible resolution APS-C camera available. Documentary filmmakers shooting static scenes. Not so good for: Video scenes with movement or panning. Those who don't need 8K video."
22,
23,"The Nikon Z30 is clearly designed with content creators in mind, particularly those intending to film vlogging-style content. It captures 4K/30p video from the full width of the sensor and 1080p video at 120 fps. Lens options are sparse, but it's paired with a respectable 16-50mm (24-70mm equiv) vibration reduction (VR) kit lens that's great for casual run-and-gun shooting. It will work for casual still images, but you're probably better off going with the Z50 for stills photography considering it has an EVF. Good for: Vlogging, streaming and social media content. Not so good for: Advanced video production or stills photographers (you're better off with the Z50, which has an EVF)."
24,"The X-H2S is Fujifilm's most ambitious X-series camera yet, and one of its most adaptable. Its AF system isn't always a match for its most extreme burst speeds but with a little tuning it can deliver impressive hit-rates. The video is also excellent, with features and performance that keep pace with more expensive cameras. It's not cheap but there are few options that can match its performance, for the price. Good for: Action photography, high-end video shooting Not so good for: Photographers who don't need its performance features"
25,
26,"The EOS R10 is perfect for content creators looking to take their creativity to the next level. Featuring a high-speed shooting 15 FPS mechanical shutter1,2, a 24.2 Megapixel CMOS (APS-C) sensor, and lightning fast autofocus, the EOS R10 camera brings some of the best features from the growing EOS R Series to a sleek, lightweight design. Users looking to learn the craft of photography and video, not break the bank in the process and want a no-fuss fun camera to tool around town should give the R10 a serious look, but be aware of the availability (or otherwise) of lenses. Good for: Beginners to intermediates and anyone with interest in casual HDR video Not so good for: Sports photographers or for capturing video intended for editing"
27,"The Lumix GH6 is Panasonic's next-generation video-focused Micro Four Thirds camera. It will use an all-new sensor and image processor, and will be capable of 10-bit 4:2:2 4K/60p capture with no time limit. It can also capture 10-bit 5.7K/60p and 4K/120 footage. It's expected to ship later in 2021. The GH6 is a flexible and dependable video camera that offers all its modes in a wide selection of codecs and bit-rates. The sensor that delivers excellent video falls behind its best stills rivals, making it a less successful hybrid camera than its predecessors, and AF still presents challenges in video. Overall a dependable video production tool that's a pleasure to work with. Good for: Small budget video projects Not so good for: Photographers"
28,"The OM-1 is a new flagship camera released by OM Digital Solutions under its new OM System brand. The OM-1, whose name page homage to the original OM-1 released 50 years ago, features 20.4MP Micro Four Thirds stacked CMOS sensor with 5-axis in-body image stabilization and two high-resolution modes capable of outputting 50MP and 80MP images in a special Tripod High Res mode. It's also quite capable on the video front, with support for 4K video (UHD or DCI) at up to 60 fps and Full HD (1080p) video at up to 240 fps, both internally in H.264 (8-bit) or H.265 (10-bit) codecs. Olympus has also doubled down on its weatherproofing expertise by adding enough weather-sealing to qualify this camera for IP53 dust- and splash-resistance. The OM-1 brings speed, improved AF and more detailed video to a system that already offered great image stabilization and small and light camera/lens combinations. This makes it a powerful all-rounder with particular strengths for wildlife. That compactness comes as a trade-off for absolute image quality but a series of computational multi-shot modes can help close the gap in certain circumstances. It's a lot of capability for the money. Good for: Wildlife, hand-held video, some sports shooting Not so good for: Family photos where simplicity is essential"
29,"The EOS R5 C is a video-orientated variant of Canon's EOS R5. Part of the Cinema EOS range, it shoots 8K at up to 60p in Canon's Cinema Raw Light format, with 10-bit 422 options in the XF-AVC format. The main distinguishing feature is an active cooling system on the back of the camera, allowing unlimited recording times. Unlike the base R5 model, there's no in-body image stabilization system, but there is a socket for syncing timecode. A three-way switch lets you turn the camera on in either Photo or Video mode, with the menus and user interface changing to match the mode you choose. Video mode includes wave form and vectorscope displays not included on the standard R5."
30,"The Leica M11 is a digital rangefinder camera built around a 60MP BSI CMOS sensor. It's the latest in Leica's 'M' series of rangefinders that dates back to the M3 from 1954. With this unrivaled depth of heritage behind it, it's no surprise that the M11 looks a lot like its predecessors. Despite the visual similarities, there's a lot that's changed in the latest model, with a more refined body design as well as completely new internals. The M11 will be available in two variants: a classic silver version with black leatherette band around the center and a brass top-plate, and a black version that uses aluminum instead, making it around 100g lighter. The recommended retail price for both is $8995."
