ID,Attribute,Value
1,Body type,Large sensor compact
1,Max resolution,9520 x 6336
1,Effective pixels,60 megapixels
1,Sensor size,Full frame (36 x 24 mm)
1,Sensor type,BSI-CMOS
1,ISO,"Auto, 50-100000"
1,Focal length (equiv.),28 mm
1,Max aperture,F1.7–16
1,Articulated LCD,Tilting
1,Screen size,3″
1,Screen dots,"1,843,200"
1,Max shutter speed,1/2000 sec
1,Format,"MPEG-4, H.264, H.265"
1,Storage types,SD/SDHC/SDXC
1,Weight (inc. batteries),743 g (1.64 lb / 26.21 oz)
1,Dimensions,130 x 80 x 93 mm (5.12 x 3.16 x 3.65″)
1,GPS,Optional
2,Body type,SLR-style mirrorless
2,Max resolution,6240 x 4160
2,Effective pixels,26 megapixels
2,Sensor size,APS-C (23.5 x 15.6 mm)
2,Sensor type,BSI-CMOS
2,ISO,"Auto, 160-12800 (expands to 80-51200)"
2,Lens mount,Fujifilm X
2,Focal length mult.,1.5×
2,Articulated LCD,Fully articulated
2,Screen size,3″
2,Screen dots,"1,840,000"
2,Max shutter speed,1/4000 sec
2,Format,"MPEG-4, H.264, H.265"
2,Storage types,SD/SDHC/SDXC slot (UHS-II supported)
2,USB,USB 3.2 Gen 1 (5 GBit/sec)
2,Weight (inc. batteries),491 g (1.08 lb / 17.32 oz)
2,Dimensions,127 x 85 x 65 mm (5 x 3.35 x 2.56″)
2,GPS,None
3,Body type,SLR-style mirrorless
3,Max resolution,6000 x 4000
3,Effective pixels,24 megapixels
3,Sensor size,APS-C (22.3 x 14.9 mm)
3,Sensor type,CMOS
3,Lens mount,Canon RF
3,Focal length mult.,1.6×
3,Articulated LCD,Fixed
3,Screen size,3″
3,Screen dots,"1,040,000"
3,Max shutter speed,1/4000 sec
3,Format,"MPEG-4, H.264"
3,Storage types,SD (UHS-I compatible)
3,USB,USB 2.0 (480 Mbit/sec)
3,Weight (inc. batteries),356 g (0.78 lb / 12.56 oz)
3,Dimensions,116 x 86 x 69 mm (4.57 x 3.39 x 2.72″)
4,Body type,Compact
4,Effective pixels,20 megapixels
4,Sensor size,1″ (13.2 x 8.8 mm)
4,Sensor type,Stacked CMOS
4,Focal length (equiv.),18–50 mm
4,Weight (inc. batteries),292 g (0.64 lb / 10.30 oz)
4,Dimensions,106 x 60 x 47 mm (4.15 x 2.36 x 1.84″)
5,Body type,Compact
5,Max resolution,5472 x 3648
