Product_ID,Brand and Model
1,Canon EOS R6 Mark II
2,Canon EOS R7
3,Canon EOS R10
4,Canon EOS R3
5,Canon EOS M50 II
6,Canon EOS R5
7,Canon EOS R6
8,Canon EOS 850D
9,Canon EOS-1D X Mark III
10,Canon EOS M200
11,Canon EOS 90D
12,Canon EOS M6 Mark II
13,Canon PowerShot G7 X Mark III
14,Canon PowerShot G5 X Mark II
15,Canon EOS 250D
16,Canon EOS RP
17,Canon PowerShot SX70 HS
18,Canon EOS R
19,Canon PowerShot SX740 HS
20,Canon EOS M50
21,Canon EOS Rebel T7
22,Canon EOS 4000D
23,Canon PowerShot G1 X Mark III
24,Canon EOS M100
25,Canon EOS 6D Mark II
26,Canon EOS Rebel SL2
27,Canon PowerShot SX730 HS
28,Canon EOS Rebel T7i
29,Canon EOS 77D
30,Canon EOS M6
31,Canon PowerShot G9 X Mark II
32,Canon EOS M5
33,Canon EOS 5D Mark IV
34,Canon PowerShot SX620 HS
35,Canon EOS 1300D
36,Canon PowerShot G7 X Mark II
37,Canon PowerShot SX720 HS
38,Canon EOS 80D
39,Canon EOS-1D X Mark II
40,Canon PowerShot ELPH 360 HS
41,Canon PowerShot ELPH 190 IS
42,Canon PowerShot ELPH 180
43,Canon PowerShot SX540 HS
44,Canon PowerShot SX420 IS
45,Canon EOS M10
46,Canon PowerShot G5 X
47,Canon PowerShot G9 X
48,Canon PowerShot G3 X
49,Canon EOS M3
50,Canon EOS Rebel T6s
51,Canon EOS Rebel T6i
52,Canon EOS 5DS R
53,Canon EOS 5DS
54,Canon PowerShot ELPH 350 HS
55,Canon PowerShot SX410 IS
56,Canon PowerShot SX710 HS
57,Canon PowerShot SX610 HS
58,Canon PowerShot SX530 HS
59,Canon PowerShot ELPH 170 IS
60,Canon PowerShot ELPH 160
61,Canon IXUS 165
62,Canon EOS 7D Mark II
63,Canon PowerShot G7 X
64,Canon PowerShot SX60 HS
65,Canon PowerShot N2
66,Canon PowerShot SX520 HS
67,Canon PowerShot SX400 IS
68,Canon PowerShot S200
69,Canon PowerShot ELPH 150 IS
70,Canon PowerShot ELPH 140 IS
71,Canon PowerShot ELPH 135
72,Canon PowerShot G1 X Mark II
73,Canon PowerShot D30
74,Canon PowerShot SX700 HS
75,Canon EOS Rebel T5
76,Canon PowerShot N100
77,Canon PowerShot SX600 HS
78,Canon PowerShot ELPH 340 HS
79,Canon PowerShot SX510 HS
80,Canon PowerShot SX170 IS
81,Canon PowerShot G16
82,Canon PowerShot S120
83,Canon EOS 70D
84,Canon EOS Rebel SL1
85,Canon EOS Rebel T5i
86,Canon PowerShot SX280 HS
87,Canon PowerShot SX270 HS
88,Canon PowerShot ELPH 330 HS
89,Canon PowerShot ELPH 115 IS
90,Canon PowerShot A2500
91,Canon PowerShot A3500 IS
92,Canon PowerShot A2600
93,Canon PowerShot ELPH 130 IS
94,Canon PowerShot A1400
95,Canon PowerShot N
96,Canon EOS 6D
97,Canon PowerShot G15
98,Canon PowerShot SX50 HS
99,Canon PowerShot SX160 IS
100,Canon PowerShot SX500 IS
101,Canon EOS M
102,Canon PowerShot ELPH 120 IS
103,Canon PowerShot A1300
104,Canon EOS-1D C
105,Canon PowerShot G1 X
106,Canon PowerShot A4000 IS
107,Canon PowerShot D20
108,Canon PowerShot A810
109,Canon EOS 60Da
110,Canon PowerShot A3400 IS
111,Canon PowerShot S110
112,Canon PowerShot SX240 HS
113,Canon PowerShot Elph 530 HS
114,Canon EOS 5D Mark III
115,Canon PowerShot A2400 IS
116,Canon PowerShot ELPH 110 HS
117,Canon PowerShot ELPH 320 HS
118,Canon PowerShot A2300
119,Canon EOS Rebel T4i
120,Canon PowerShot ELPH 520 HS
121,Canon PowerShot SX260 HS
122,Canon IXUS 230 HS
123,Canon PowerShot ELPH 300 HS
124,Canon PowerShot A3200 IS
125,Canon PowerShot SX150 IS
126,Canon IXUS 230 HS
127,Canon PowerShot ELPH 300 HS
128,Canon EOS-1D X
129,Canon PowerShot A3200 IS
130,Canon PowerShot SX150 IS
131,Canon PowerShot ELPH 100 HS
132,Canon PowerShot SX220 HS
133,Canon PowerShot SX40 HS
134,Canon PowerShot A2200
135,Canon EOS Rebel T3i
136,Canon PowerShot SX230 HS
137,Canon PowerShot S100
138,Canon PowerShot A1200
139,Canon EOS Rebel T3
140,Canon PowerShot A495
141,Canon PowerShot S95
142,Canon IXUS 130
143,Canon PowerShot SX30 IS
144,Canon PowerShot A3000 IS
145,Canon EOS 60D
146,Canon IXUS 105
147,Canon PowerShot G12
148,Canon PowerShot A3100 IS
149,Canon PowerShot SD4000 IS
150,Canon EOS Rebel T2i
151,Canon PowerShot A3100 IS
152,Canon PowerShot SD4000 IS
153,Canon EOS Rebel T2i
154,Canon PowerShot SD4500 IS
155,Canon PowerShot SX210 IS
156,Canon EOS 500D
157,Canon Digital IXUS 95 IS
158,Canon PowerShot S90
159,Canon EOS 7D
160,Canon PowerShot SX200 IS
161,Canon PowerShot D10
162,Canon PowerShot G11
163,Canon Digital IXUS 200 IS
164,Canon Digital IXUS 990 IS
165,Canon PowerShot A2100 IS
166,Canon PowerShot SD940 IS
167,Canon PowerShot SX20 IS
168,Canon Digital IXUS 110 IS
169,Canon PowerShot A1100 IS
170,Canon PowerShot SX120 IS
171,Canon Digital IXUS 100 IS
172,Canon EOS-1D Mark IV
173,Canon PowerShot A480
174,Canon EOS 50D
175,Canon PowerShot A470
176,Canon PowerShot A590 IS
177,Canon PowerShot SX10 IS
178,Canon PowerShot E1
179,Canon Digital IXUS 90 IS
180,Canon EOS 5D Mark II
181,Canon PowerShot A580
182,Canon PowerShot SX1 IS
183,Canon PowerShot SX110 IS
184,Canon Digital IXUS 970 IS
185,Canon EOS 50D
186,Canon PowerShot A470
187,Canon PowerShot G10
188,Canon Digital IXUS 80 IS
189,Canon Digital IXUS 870 IS
190,Canon PowerShot A1000 IS
191,Canon EOS 1000D
192,Canon EOS 450D
193,Canon Digital IXUS 980 IS
194,Canon PowerShot A550
195,Canon PowerShot A650 IS
196,Canon PowerShot A570 IS
197,Canon EOS-1Ds Mark III
198,Canon PowerShot A460
199,Canon Digital IXUS 860 IS
200,Canon PowerShot SD750
201,Canon PowerShot SD1000
202,Canon PowerShot S5 IS
203,Canon EOS 40D
204,Canon PowerShot SX100 IS
205,Canon EOS-1D Mark III
206,Canon PowerShot TX1
207,Canon PowerShot A720 IS
208,Canon PowerShot A560
209,Canon PowerShot G9
210,Canon PowerShot A550
211,Canon PowerShot A650 IS
212,Canon PowerShot A570 IS
213,Canon PowerShot A530
214,Canon EOS 400D
215,Canon Digital IXUS 65
216,Canon Digital IXUS i7
217,Canon PowerShot A700
218,Canon PowerShot A420
219,Canon Digital IXUS 60
220,Canon PowerShot A710 IS
221,Canon PowerShot S3 IS
222,Canon EOS 30D
223,Canon PowerShot G7
224,Canon PowerShot A630
225,Canon PowerShot A540
226,Canon PowerShot A710 IS
227,Canon PowerShot A430
228,Canon EOS 30D
229,Canon PowerShot G7
230,Canon PowerShot A630
231,Canon EOS 5D
232,Canon PowerShot A520
233,Canon PowerShot SD550
234,Canon PowerShot A610
235,Canon EOS 20Da
236,Canon PowerShot A510
237,Canon EOS-1D Mark II N
238,Canon Digital IXUS i Zoom
239,Canon PowerShot S2 IS
240,Canon PowerShot SD500
241,Canon PowerShot S80
242,Canon Digital IXUS 50
243,Canon PowerShot SD430 Wireless
244,Canon PowerShot A410
245,Canon EOS 350D
246,Canon PowerShot SD450
247,Canon PowerShot A620
248,Canon PowerShot G6
249,Canon EOS-1D Mark II
250,Canon Digital IXUS 500
251,Canon Digital IXUS 430
252,Canon EOS 20D
253,Canon PowerShot A310
254,Canon PowerShot A400
255,Canon PowerShot S1 IS
256,Canon PowerShot A85
257,Canon PowerShot A75
258,Canon PowerShot A95
259,Canon PowerShot S60
260,Canon PowerShot SD20
261,Canon Digital IXUS 500
262,Canon PowerShot S70
263,Canon PowerShot Pro1
264,Canon PowerShot SD200
265,Canon Digital IXUS IIs
266,Canon PowerShot G6
267,Canon PowerShot A80
268,Canon PowerShot A60
269,Canon PowerShot G5
270,Canon Digital IXUS 400
271,Canon EOS 10D
272,Canon PowerShot A300
273,Canon Digital IXUS i
274,Canon PowerShot A70
275,Canon EOS 300D
276,Canon PowerShot G5
277,Canon Digital IXUS 400
278,Canon Digital IXUS 330
279,Canon Digital IXUS v2
280,Canon EOS-1Ds
281,Canon PowerShot A200
282,Canon PowerShot A30
283,Canon PowerShot S45
284,Canon PowerShot A100
285,Canon Digital IXUS v3
286,Canon EOS D60
287,Canon PowerShot A40
288,Canon PowerShot G3
289,Canon EOS-1D
290,Canon PowerShot S40
291,Canon Digital IXUS 300
292,Canon PowerShot Pro90 IS
293,Canon PowerShot A20
294,Canon Digital IXUS v
295,Canon PowerShot A10
296,Canon PowerShot G2
297,Canon PowerShot S30
298,Canon PowerShot S20
299,Canon PowerShot G1
300,Canon Digital IXUS
301,Canon Digital IXUS
302,Canon PowerShot S10
303,Canon PowerShot A50
304,Canon PowerShot A5 Zoom
305,Canon PowerShot A5
306,Canon PowerShot Pro70
307,Canon PowerShot 350
308,Canon PowerShot 600
309,Fujifilm X-T5
310,Fujifilm X-H2
311,Fujifilm X-H2S
312,Fujifilm X-T30 II
313,Fujifilm X-E4
314,Fujifilm X-S10
315,Fujifilm X-T4
316,Fujifilm X100V
317,Fujifilm X-T200
318,Fujifilm X-Pro3
319,Fujifilm X-A7
320,Fujifilm X-T30
321,Fujifilm FinePix XP140
322,Fujifilm X-T3
323,Fujifilm XF10
324,Fujifilm X-T100
325,Fujifilm X-H1
326,Fujifilm X-A5
327,Fujifilm FinePix XP130
328,Fujifilm X-E3
329,Fujifilm X-T20
330,Fujifilm X100F
331,Fujifilm FinePix XP120
332,Fujifilm X-A10
333,Fujifilm X-A3
334,Fujifilm X-T2
335,Fujifilm X70
336,Fujifilm X-Pro2
337,Fujifilm X-E2S
338,Fujifilm XP90
339,Fujifilm X-T10
340,Fujifilm XQ2
341,Fujifilm X-A2
342,Fujifilm FinePix S9900W
343,Fujifilm FinePix S9800
344,Fujifilm FinePix XP80
345,Fujifilm X100T
346,Fujifilm X30
347,Fujifilm X-T1
348,Fujifilm FinePix S1
349,Fujifilm FinePix S8600
350,Fujifilm FinePix S9400W
351,Fujifilm FinePix S9200
352,Fujifilm FinePix XP70
353,Fujifilm X-E2
354,Fujifilm XQ1
355,Fujifilm X-A1
356,Fujifilm X-M1
357,Fujifilm FinePix JZ700
358,Fujifilm FinePix XP200
359,Fujifilm FinePix F900EXR
360,Fujifilm FinePix F850EXR
361,Fujifilm FinePix S6800
362,Fujifilm FinePix S6700
363,Fujifilm FinePix S6600
364,Fujifilm FinePix S4800
365,Fujifilm FinePix S4700
366,Fujifilm FinePix S4600
367,Fujifilm FinePix HS35 EXR
368,Fujifilm FinePix AX650
369,Fujifilm X100S
370,Fujifilm FinePix HS50 EXR
371,Fujifilm FinePix SL1000
372,Fujifilm X20
373,Fujifilm FinePix XP60
