Product_ID,Specs
1,"Canon  R6 Mark II comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm (1.7"") and a surface area of 858.01 mm²."
2,"Canon  R7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
3,"Canon  R10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
4,"Canon  R3 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
5,"Canon  M50 II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
6,"Canon  R5 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
7,"Canon  R6 comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm (1.7"") and a surface area of 858.01 mm²."
8,"Canon  850D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
9,"Canon -1D X Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
10,"Canon  M200 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
11,"Canon  90D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
12,"Canon  M6 Mark II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
13,"Canon  G7 X Mark III comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
14,"Canon  G5 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
15,"Canon  250D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
16,"Canon  RP comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm²."
17,"Canon  SX70 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
18,"Canon  R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
19,"Canon  SX740 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
20,"Canon  M50 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
21,"Canon  Rebel T7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
22,"Canon  4000D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
23,"Canon  G1 X Mark III comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
24,"Canon  M100 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
25,"Canon  6D Mark II comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm²."
26,"Canon  Rebel SL2 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
27,"Canon  SX730 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
28,"Canon  Rebel T7i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
29,"Canon  77D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
30,"Canon  M6 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
31,"Canon  G9 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
32,"Canon  M5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
33,"Canon  5D Mark IV comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
34,"Canon  SX620 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
35,"Canon  1300D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
36,"Canon  G7 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
37,"Canon  SX720 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
38,"Canon  80D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm (1.06"") and a surface area of 337.50 mm²."
39,"Canon -1D X Mark II comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
40,"Canon  ELPH 360 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
41,"Canon  ELPH 190 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
42,"Canon  ELPH 180 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
43,"Canon  SX540 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
44,"Canon  SX420 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
45,"Canon  M10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
46,"Canon  G5 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
47,"Canon  G9 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
48,"Canon  G3 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm²."
49,"Canon  M3 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
