ID,Title,Brand,Model
162,"""Hitachi 251 L Frost Free Double Door Inverter Technology Refrigerator (RT260END1K) is a refrigerator.""",Hitachi,RT260END1K
127,,Haier,HRB-2764PSG-E
67,"(No special characters)
Answer should be Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator (REF EC203PTBRHDB).",Electrolux,REF EC203PTBRHDB
4,"""Bosch 658 L Frost Free Side by Side 3 Star Refrigerator (KAN92VS30I) """,Bosch,KAN92VS30I
207,(LG) LG 437 L Frost Free Double Door Refrigerator (GL T432APZY) is a refrigerator.,LG,GL T432APZY
320,"""Mitashi MiRFDDP2S240v20 240 L Direct Cool Double Door Refrigerator""",Mitashi,MiRFDDP2S240v20
29,"""Bosch 288 L Frost Free Double Door 3 Star Refrigerator (KDN30VN30I)"".",Bosch,KDN30VN30I
174,"""The refrigerator is a Hyundai HGP563Z BM RSW.""",Hyundai,HGP563Z BM RSW
332,"""Onida 92 L Direct Cool Single Door 1 Star Refrigerator (RDS1001SG)""",Onida,RDS1001SG
192,"""Koryo 225L Direct Cool Single Door 3 Star Refrigerator (KDR250S3)""",Koryo,KDR250S3
229,"""This 2 star LG refrigerator features a double door design and a frosted glass door, offering an energy efficient and convenient storage experience for all your food and beverages.""",LG,GL S292RBCY
404,<noinput>,Samsung,RR20A182YCU
365,"""Panasonic 197 L Direct Cool Single Door 2 Star Refrigerator (NR A201BTRN) can cool up to 1.5 times faster than a 2 star fridge, and is energy efficient to help you save money on your power bills.""",Panasonic,NR A201BTRN
451,"
What type of refrigerator is Videocon 215 L Direct Cool Single Door 5 Star Refrigerator?",Videocon,VZ225LTCBP
83,"'Godrej' and '185 L', '3 Star'",Godrej,RD 1853 PM 3.2
362,-|- This refrigerator is manufactured by Panasonic and is a 3 star rating.,Panasonic,NR A201CEMN
131,"""Haier's 256 L Frost Free Double Door 4 Star Refrigerator (HRB-2764PMG-E) is a great appliance to keep your food and drinks cool and fresh.""",Haier,HRB-2764PMG-E
493,'Voltas Beko 200 L Direct Cool Single Door 3 Star Refrigerator (RDC220C54DBEXXXXXG)'.,Voltas Beko,RDC220C54/DBEXXXXXG
74,'Electrolux EP242LMDHFB is a 2 star frost free double door refrigerator.,Electrolux,REF EP242LMDHFB
173,,Hitachi,B80PND2GBW
494,"
Voltas Beko 200 L Direct Cool Single Door 3 Star Refrigerator (RDC220C60).",Voltas Beko,RDC220C60
