text,labels
"Canon  R6 Mark II comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm 1.7"" and a surface area of 858.01 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R3 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M50 II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R5 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R6 comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm 1.7"" and a surface area of 858.01 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  850D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon -1D X Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M200 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  90D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M6 Mark II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G7 X Mark III comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G5 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  250D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  RP comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm 1.7"" and a surface area of 861.60 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX70 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX740 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M50 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  4000D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G1 X Mark III comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M100 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
