text,labels
Bosch 347 L Frost Free Double Door 3 Star Refrigerator KDN43VL40I,B-br O O O O O O O O O B-mo
Bosch 415 L Frost Free Double Door 3 Star Refrigerator KGN46XL40I,B-br O O O O O O O O O B-mo
Bosch 332 L Frost Free Triple Door 3 Star Refrigerator CMC33S05NI,B-br O O O O O O O O O B-mo
Bosch 658 L Frost Free Side by Side 3 Star Refrigerator KAN92VS30I,B-br O O O O O O O O O O B-mo
Bosch 658 L Frost Free Side by Side 5 Star Refrigerator KAN92VI35I,B-br O O O O O O O O O O B-mo
Bosch 599 L Frost Free Double Door 2 Star Refrigerator KGN56LB41I,B-br O O O O O O O O O B-mo
Bosch 636 L Frost Free Side by Side 3 Star Refrigerator KAD92SB30,B-br O O O O O O O O O O B-mo
Bosch 263 L Frost Free Double Door Top Mount 3 Star Refrigerator CTC27S03EI,B-br O O O O O O O O O O O B-mo
Bosch 290 L Frost Free Double Door Top Mount 3 Star Refrigerator CTC29BT3NI,B-br O O O O O O O O O O O B-mo
Bosch 501 L Frost Free Double Door 2 Star Refrigerator KDD56XI30I,B-br O O O O O O O O O B-mo
Bosch 507 L Frost Free Double Door 2 Star Refrigerator KDN56XI30I,B-br O O O O O O O O O B-mo
Bosch 655 L Frost Free Side by Side 5 Star Refrigerator KAN92LB35I,B-br O O O O O O O O O O B-mo
Bosch 347 L Frost Free Double Door 3 Star Refrigerator KDN43VD40I,B-br O O O O O O O O O B-mo
Bosch 347 L Frost Free Double Door 3 Star Refrigerator KDN43VL30I,B-br O O O O O O O O O B-mo
Bosch 347 L Frost Free Double Door 3 Star Refrigerator KDN43VV30I,B-br O O O O O O O O O B-mo
Bosch 288 L Frost Free Double Door 3 Star Refrigerator KDN30VL30I,B-br O O O O O O O O O B-mo
Bosch 288 L Frost Free Double Door 3 Star Refrigerator KDN30VU30I,B-br O O O O O O O O O B-mo
Bosch 347 L Frost Free Double Door 4 Star Refrigerator KDN43VB40I,B-br O O O O O O O O O B-mo
Bosch 350 L Frost Free Double Door 3 Star Refrigerator KDN43VR30I,B-br O O O O O O O O O B-mo
Bosch 327 L Frost Free Double Door 3 Star Refrigerator KDN42UL30I,B-br O O O O O O O O O B-mo
Bosch 330 L Frost Free Double Door 2 Star Refrigerator KDN42VL30I,B-br O O O O O O O O O B-mo
Bosch 505 L Frost Free Double Door 2 Star Refrigerator KGN57AI40I,B-br O O O O O O O O O B-mo
Bosch 618 L Frost Free Side by Side 2 Star Refrigerator KAN56V40NE,B-br O O O O O O O O O O B-mo
Bosch 401 L Frost Free Double Door 2 Star Refrigerator KDN46XI30I,B-br O O O O O O O O O B-mo
Bosch 330 L Frost Free Double Door 2 Star Refrigerator KDN42VD30I,B-br O O O O O O O O O B-mo
Bosch 288 L Frost Free Double Door 3 Star Refrigerator KDN30UL30I,B-br O O O O O O O O O B-mo
Bosch 401 L Frost Free Double Door 2 Star Refrigerator KDD46XI30I,B-br O O O O O O O O O B-mo
Bosch 454 L Frost Free Double Door 2 Star Refrigerator KDN53XI30I,B-br O O O O O O O O O B-mo
Bosch 288 L Frost Free Double Door 3 Star Refrigerator KDN30VN30I,B-br O O O O O O O O O B-mo
Bosch 327 L Frost Free Double Door 3 Star Refrigerator KDN42UB30I,B-br O O O O O O O O O B-mo
BPL 95 L Direct Cool Single Door 1 Star Refrigerator BRC 1100BPMR,B-br O O O O O O O O O B-mo I-mo
Croma 170 L Direct Cool Single Door 2 Star Refrigerator CRAR0215,B-br O O O O O O O O O B-mo
Croma 270 L Frost Free Double Door 2 Star Refrigerator CRLR272FFC259601,B-br O O O O O O O O O B-mo
Croma 307 L Frost Free Double Door 3 Star Refrigerator CRLR310FFD259607,B-br O O O O O O O O O B-mo
Croma 279 L Frost Free Double Door 2 Star Refrigerator CRLR280FFC259602,B-br O O O O O O O O O B-mo
Croma 307 L Frost Free Double Door 2 Star Refrigerator CRLR310FFC259603,B-br O O O O O O O O O B-mo
Croma 259 L Frost Free Double Door 3 Star Refrigerator CRLR260FFD259606,B-br O O O O O O O O O B-mo
Croma 50 L Direct Cool Single Door 1 Star Refrigerator CRAR0218,B-br O O O O O O O O O B-mo
Croma 347 L Frost Free Double Door 2 Star Refrigerator CRAR2404,B-br O O O O O O O O O B-mo
Croma 310 L Frost Free Double Door 2 Star Refrigerator CRAR2403,B-br O O O O O O O O O B-mo
Croma 225 L Direct Cool Single Door 2 Star Refrigerator CRAR0214,B-br O O O O O O O O O B-mo
Croma 584 L Frost Free Side by Side 3 Star Refrigerator CRAR2601,B-br O O O O O O O O O O B-mo
Croma 592 L Frost Free Side by Side 3 Star Refrigerator CRAR2621,B-br O O O O O O O O O O B-mo
Croma 263 L Frost Free Double Door 2 Star Refrigerator CRAR2522,B-br O O O O O O O O O B-mo
Croma 541 L Frost Free Double Door 2 Star Refrigerator CRAR2525,B-br O O O O O O O O O B-mo
Croma 170 L Direct Cool Single Door 2 Star Refrigerator CRLRFC403sD170,B-br O O O O O O O O O B-mo
Croma 170 L Direct Cool Single Door 3 Star Refrigerator CRAC0211,B-br O O O O O O O O O B-mo
Croma 270 L Frost Free Double Door 3 Star Refrigerator CRAR2386,B-br O O O O O O O O O B-mo
Croma 190 L Direct Cool Single Door 3 Star Refrigerator CRAR0212,B-br O O O O O O O O O B-mo
Croma 225 L Direct Cool Single Door 2 Star Refrigerator CRAR0213,B-br O O O O O O O O O B-mo
Croma 92 L Direct Cool Single Door 1 Star Refrigerator CRLRFC402sD100,B-br O O O O O O O O O B-mo
Croma 170 L Direct Cool Single Door 4 Star Refrigerator CRAR0208,B-br O O O O O O O O O B-mo
Croma 170 L Direct Cool Single Door 3 Star Refrigerator CRAR0211,B-br O O O O O O O O O B-mo
Croma 310 L Frost Free Double Door 3 Star Refrigerator CRAR2401,B-br O O O O O O O O O B-mo
Croma 335 L Frost Free Double Door 3 Star Refrigerator CRAR2402,B-br O O O O O O O O O B-mo
Croma 435 L Frost Free Double Door 1 Star Refrigerator CRAR2523,B-br O O O O O O O O O B-mo
Electrolux 470 L Frost Free Double Door 2 Star Refrigerator ETB4702AA,B-br O O O O O O O O O B-mo
Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator EN205PTSV,B-br O O O O O O O O O B-mo
Electrolux 80 L Direct Cool Single Door 1 Star Refrigerator HEC091PSH,B-br O O O O O O O O O B-mo
Electrolux 47 L Direct Cool Single Door 2 Star Refrigerator EC060PSH,B-br O O O O O O O O O B-mo
Electrolux 190 L Direct Cool Single Door 3 Star Refrigerator EB203EBR,B-br O O O O O O O O O B-mo
Electrolux 370 L Frost Free Triple Door Refrigerator EME3700MG,B-br O O O O O O O B-mo
Electrolux 524 L Frost Free French Door Refrigerator EHE5200SA,B-br O O O O O O O B-mo
Electrolux 235 L Frost Free Double Door 2 Star Refrigerator REF EP242LSVHFB,B-br O O O O O O O O O B-mo I-mo
