text,labels
"Canon  R6 Mark II comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm 1.7"" and a surface area of 858.01 mm².",B-br B-mo I-mo I-mo O O O O O O O O O O O O O O O O O O O O O O O O
"comes 1.7"" a R6 23.9 with mm of 43.13 of and surface Canon CMOS a mm diagonal x 858.01 II Mark 35.9 a which area sensor, has mm².",O O O B-mo O O O O O O O O B-br O O O O O O I-mo I-mo O O O O O O O
"R6 mm 23.9 diagonal sensor, mm². of with has comes 858.01 Canon surface mm x 43.13 area a and 35.9 II 1.7"" CMOS which a of Mark a",B-mo O O O O O O O O O O B-br O O O O O O O O I-mo O O O O O I-mo O
"mm 23.9 diagonal sensor, mm². of with has comes 858.01 Canon surface mm x 43.13 area a and 35.9 II 1.7"" CMOS which a of Mark a",O O O O O O O O O O B-br O O O O O O O O I-mo O O O O O I-mo O
"Canon  R7 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"a mm sensor, area of a 14.9 Canon 332.27 a of CMOS R7 with x has surface which diagonal 1.06"" mm 22.3 26.82 mm². and comes",O O O O O O O B-br O O O O B-mo O O O O O O O O O O O O O
"mm diagonal Canon a mm². of 22.3 332.27 comes surface 26.82 with 14.9 1.06"" x a has sensor, mm CMOS and of R7 a area which",O O B-br O O O O O O O O O O O O O O O O O O O B-mo O O O
"mm diagonal Canon a mm². of 22.3 332.27 comes surface 26.82 14.9 1.06"" x a has sensor, mm CMOS and of R7 a area which",O O B-br O O O O O O O O O O O O O O O O O O B-mo O O O
"Canon  R10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"has mm². mm 332.27 26.82 surface comes 1.06"" a Canon of area 22.3 which mm CMOS and a x 14.9 R10 a diagonal sensor, with of",O O O O O O O O O B-br O O O O O O O O O O B-mo O O O O O
"mm 26.82 sensor, mm². a 332.27 and mm a of 22.3 Canon of with CMOS a comes surface has area which 14.9 diagonal x R10 1.06""",O O O O O O O O O O O B-br O O O O O O O O O O O O B-mo O
"mm 26.82 mm². a 332.27 and mm a of 22.3 Canon of with CMOS a comes surface has area which 14.9 diagonal x R10 1.06""",O O O O O O O O O O B-br O O O O O O O O O O O O B-mo O
"Canon  R3 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"a mm 36 x mm². 24 a of 1.7"" Canon R3 of comes has sensor, area a surface which with mm CMOS 864.00 diagonal 43.27 and",O O O O O O O O O B-br B-mo O O O O O O O O O O O O O O O
"has surface 36 diagonal x which a 24 sensor, comes mm and Canon of a with of mm². CMOS R3 864.00 area 1.7"" a 43.27 mm",O O O O O O O O O O O O B-br O O O O O O B-mo O O O O O O
"has 36 diagonal x which a 24 sensor, comes mm and Canon of a with of mm². CMOS R3 864.00 area 1.7"" a 43.27 mm",O O O O O O O O O O O B-br O O O O O O B-mo O O O O O O
"Canon  M50 II comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br B-mo I-mo O O O O O O O O O O O O O O O O O O O O O O O O
"surface diagonal 14.9 22.3 1.06"" 26.82 and mm has mm². mm a a x a II sensor, comes area of Canon which CMOS 332.27 M50 with of",O O O O O O O O O O O O O O O I-mo O O O O B-br O O O B-mo O O
"Canon 1.06"" 14.9 a mm of II a 22.3 sensor, M50 26.82 x has with mm². area and surface which mm of diagonal CMOS 332.27 a comes",B-br O O O O O I-mo O O O B-mo O O O O O O O O O O O O O O O O
"Canon 1.06"" 14.9 a mm of II a 22.3 sensor, M50 26.82 x has mm². area and surface which mm of diagonal CMOS 332.27 a comes",B-br O O O O O I-mo O O O B-mo O O O O O O O O O O O O O O O
"Canon  R5 comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"CMOS a and area mm comes with sensor, a x diagonal of 43.27 864.00 24 mm mm². which of surface 36 R5 1.7"" Canon a has",O O O O O O O O O O O O O O O O O O O O O B-mo O B-br O O
"comes with 24 a which and mm². of 36 mm area sensor, of 43.27 864.00 CMOS R5 a Canon has x 1.7"" a surface mm diagonal",O O O O O O O O O O O O O O O O B-mo O B-br O O O O O O O
"comes with 24 a which and mm². of 36 mm area sensor, of 43.27 864.00 CMOS R5 a Canon has x 1.7"" a surface diagonal",O O O O O O O O O O O O O O O O B-mo O B-br O O O O O O
"Canon  R6 comes with a  35.9 x 23.9 mm CMOS sensor, which has a diagonal of  43.13 mm 1.7"" and a surface area of 858.01 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"CMOS mm which a 35.9 of 43.13 surface 1.7"" mm and 23.9 of sensor, comes mm². R6 Canon 858.01 x area has a diagonal with a",O O O O O O O O O O O O O O O O B-mo B-br O O O O O O O O
"a x has sensor, 1.7"" mm². R6 which and 858.01 mm comes CMOS 35.9 of with surface mm a diagonal 43.13 of area a 23.9 Canon",O O O O O O B-mo O O O O O O O O O O O O O O O O O O B-br
"a x has sensor, 1.7"" mm². R6 which and 858.01 mm comes CMOS 35.9 of with surface mm a 43.13 of area a 23.9 Canon",O O O O O O B-mo O O O O O O O O O O O O O O O O O B-br
"Canon  850D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br B-mo O O O O O O O O O O O O O O O O O O O O O O O O
"diagonal x of of Canon 14.9 comes a and area has a which mm CMOS a with mm 850D 1.06"" sensor, 22.3 332.27 26.82 surface mm².",O O O O B-br O O O O O O O O O O O O O B-mo O O O O O O O
"of diagonal 332.27 mm mm². 1.06"" surface 26.82 and 14.9 850D with area 22.3 a x mm a of comes sensor, Canon a which has CMOS",O O O O O O O O O O B-mo O O O O O O O O O O B-br O O O O
"of diagonal 332.27 mm mm². 1.06"" 26.82 and 14.9 850D with area 22.3 a x mm a of comes sensor, Canon a which has CMOS",O O O O O O O O O B-mo O O O O O O O O O O B-br O O O O
"Canon -1D X Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br B-mo I-mo I-mo I-mo O O O O O O O O O O O O O O O O O O O O O O O O
"comes which x of 1.7"" sensor, -1D 864.00 Mark X diagonal a has and of Canon a 36 with mm area surface mm². mm CMOS a 24 III 43.27",O O O O O O B-mo O I-mo I-mo O O O O O B-br O O O O O O O O O O O I-mo O
"has Mark comes with mm². of sensor, Canon area and 864.00 x III -1D surface diagonal 43.27 CMOS 24 a which 1.7"" a X of a 36 mm mm",O I-mo O O O O O B-br O O O O I-mo B-mo O O O O O O O O O I-mo O O O O O
